,,,1.5.3.4 Create Configuration Item List,,,,,L4,,,,
,,,1.5.3.5 Design Configuration Environment Support and Scripts ,,,,,L4,,,,
,,,1.5.3.6 Define Interface List Design ,,,,,L4,,,,
,,,1.5.3.7 Design Automated Server Installation Tools and Techniques,,,,,L4,,,,
,,,1.5.3.8 Develop Release Plan Monitoring,,,,,L4,,,,
,,,1.5.3.9 Design Security Management ,,,,,L4,,,,
,,,1.5.3.10 Design Related Product/Offering Software Requirements,,,,,L4,,,,
,,1.5.4 Rights & Restriction Management,,,,,,L3,,,,
,,,1.5.4.1 Rights Model Variables Creation & Update,,,,,L4,,,,
,,,1.5.4.2 License Model Templates Creation & Update,,,,,L4,,,,
,,,1.5.4.3 Base Price Model Templates Creation & Update,,,,,L4,,,,
,,,,1.5.4.3.1 Analyze Product/Service Cost,,,,L5,,,,
,,,,1.5.4.3.2 Evaluate Existing Product Market Value,,,,L5,,,,
,,,,1.5.4.3.3 Determine Existing Product Penetration/Sales Volume Goals,,,,L5,,,,
,,,,1.5.4.3.4 Determine Existing Product Revenue/Profit Goals,,,,L5,,,,
,,,1.5.4.4 Media And Agreement Level Restrictions Designation,,,,,L4,,,,
,,,1.5.4.5 Restriction Conflict Management,,,,,L4,,,,
,,,1.5.4.6 Restriction Parameters Definition,,,,,L4,,,,
,,,1.5.4.7 Restriction Parameters Creation,,,,,L4,,,,
,,,1.5.4.8 Hierarchical Restriction Parameters Management,,,,,L4,,,,
,,,1.5.4.9 Restriction Detail Capture,,,,,L4,,,,
,,,1.5.4.10 Restriction Domain Values Maintenance,,,,,L4,,,,
,,,1.5.4.11 Restriction Tracking & Change Management,,,,,L4,,,,
,,1.5.5 Monitor Products & Services,,,,,,L3,,,,
,,,1.5.5.1 Develop Performance Measurement Criteria,,,,,L4,,,,
,,,1.5.5.2 Monitor Performance,,,,,L4,,,,
,,,1.5.5.3 Identify Opportunities,,,,,L4,,,,
,,,1.5.5.4 Take Corrective Action,,,,,L4,,,,
,,1.5.6 Refine Or Change Products,,,,,,L3,,,,
,,,1.5.6.1 Establish Research Criteria,,,,,L4,,,,
,,,1.5.6.2 Collect Customer/Market Segment Data,,,,,L4,,,,
,,,1.5.6.3 Collect Current Product Data,,,,,L4,,,,
,,,1.5.6.4 Collect Competitor Product Data,,,,,L4,,,,
,,,1.5.6.5 Identify Trends,,,,,L4,,,,
,,,1.5.6.6 Determine Strengths/Weaknesses Of Current Product,,,,,L4,,,,
,,,1.5.6.7 Identify Opportunities,,,,,L4,,,,
,,,1.5.6.8 Monitor Competitor Behavior,,,,,L4,,,,
,,,1.5.6.9 Analyze Data,,,,,L4,,,,
,,,1.5.6.10 Eliminate Quality/Reliability Problems,,,,,L4,,,,
,,,1.5.6.11 Develop  Products & Services Enhancements,,,,,L4,,,,
,,,1.5.6.12 Manage Business Group And Partner Relationship,,,,,L4,,,,
,,,1.5.6.13 Product Improvement Suggestions,,,,Product improvement suggestions are gathered and compiled into a list that is forwarded to the organization as grounds for further research.,L4,,,,
,,1.5.7 Refine Standard Price ,,,,,,L3,,,,
,,,1.5.7.1 Refine Standard Pricing,,,,,L4,,,,
,,,,"1.5.7.1.1 Analyze Product (Software, Services & Hardware) Cost",,,,L5,,,,
,,,,1.5.7.1.2 Refine Market Value,,,,L5,,,,
,,,,1.5.7.1.3 Refine Penetration/Sales Volume Goals,,,,L5,,,,
,,,,1.5.7.1.4 Refine Revenue/Profit Goals,,,,L5,,,,
,,,,1.5.7.1.5 Calculate Revised Standard Price,,,,L5,,,,
,,,1.5.7.2 Refine Price Discounting Rules Setting,,,,,L4,,,,
,,,,1.5.7.2.1 Refine Volume Discounts,,,,L5,,,,
,,,,1.5.7.2.2 Refine Customer Segment Discounts,,,,L5,,,,
,,,,1.5.7.2.3 Refine Configuration Discounts,,,,L5,,,,
,,,1.5.7.3 Adjust Standard Pricing ,,,,,L4,,,,
,,,1.5.7.4 Publish Pricing Rules,,,,,L4,,,,
,1.6 Retire Product,,,,,,Capability to retire product at the end of its life and when the product will no longer be available for purchase.,L2,,,,
,,1.6.1 Develop Retirement Strategy ,,,,,,L3,,,,
,,1.6.2 Identify Process And Timing,,,,,,L3,,,,
,,,1.6.2.1 Determine Retirement Schedule,,,,,L4,,,,
,,,1.6.2.2 Develop Service Model for Retirement Stage,,,,,L4,,,,
,,1.6.3 Retirement Product List Creation,,,,,,L3,,,,
,,1.6.4 Identify Impact To Operations,,,,,,L3,,,,
,,1.6.5 Execute Product Retirement,,,,,,L3,,,,
,,,1.6.5.1 Communicate Retirement Plan,,,,,L4,,,,
,,,1.6.5.2 End Offering Production and Sale,,,,,L4,,,,
,,,1.6.5.3 End Product Service,,,,,L4,,,,
,,1.6.6 Make Adjustments To IT,,,,,,L3,,,,
2.0 Manage Marketing,,,,,,,"Capabilities related to understanding the demographics of customers and potential customers, including segmentation, buying patterns, and marketing relationships. Ability to understand how customers respond to our marketing messages, management of campaigns toward target segments, and responding to customer end-actions. A key differentiator of marketing management from sales is that sales focuses on the ""1-on-1"" customer interaction, where marketing focuses on market segment-level interaction and statistical methods for analysis, which eventually leads to sales activities.",L1,,,,
,2.1 Analyze Market,,,,,,"Multiple external variables (such as economic, political-legal, competitive, technological, socio-cultural and ethical variables) need to be continuously monitored.",L2,,,,
,,2.1.1 Research Market,,,,,"Ability to understand the current state market of products and services, as well as trends, new business models.",L3,,,,
,,,2.1.1.1 Analyze Segments,,,,The study and identification of some characteristic of people in the overall mass market that aids in dividing it.,L4,,,,
,,,2.1.1.2 Analyze Campaign Effectiveness ,,,,"Evaluate an ad's strategy effectiveness through pre-tests (focus group interviews, consumer juries, projective techniques) and post-tests (readership tests, unaided recalls, inquiry tests), advertising effort response elasticity, split-run tests, sales the",L4,,,,
,,,2.1.1.3 Analyze Competitor Market  ,,,,"Analyze the state of the market information and how each of the industry players fit in the competition matrix.  Answer questions such as who are the key product service providers, what exactly are they offering, why are Partner Customers choosing that particular",L4,,,,
,,,2.1.1.4 Analyze Partner/Customer Lifecycle  ,,,,Gathering and analyzing of Partner Customer lifecycle data (identifying Partner Customers' cyclical behaviors and the reasons behind the duration of the relationship).,L4,,,,
,,,2.1.1.5 Analyze Product Profitability  ,,,,"Evaluation of a product's service's business attractiveness.  Profitability analysis consists of comparing demand analysis (forecasting market and sales potential, and estimating the competitive reaction) to cost analysis (estimating research and develop",L4,,,,
,,,2.1.1.6 Analyze Sales Channel  ,,,,The performance evaluation procedure designed to identify areas in which sales channel performance problems and opportunities exist.,L4,,,,
,,,2.1.1.7 Analyze Category  ,,,,"Evaluation of a product category's business attractiveness.  Analysis consists of comparing demand analysis (forecasting market and sales potential, and estimating the competitive reaction) to cost analysis (estimating research and development, production",L4,,,,
,,,2.1.1.8 Analyze Demographics  ,,,,"Gathering and analyzing demographics information in order to be able to divide a mass market on the basis of statistical data such as age, sex, and buying power.",L4,,,,
,,,2.1.1.9 Analyze Product Lifecycle  ,,,,"Gathering and analyzing of a product's sales history over time, including repeat purchases, not just first time sales.",L4,,,,
,,,2.1.1.10 Analyze Basket  ,,,,The analysis of products & services frequently purchased together or in conjunction with one another.,L4,,,,
,,,2.1.1.11 Analyze Shopping Behavior  ,,,,The study of behaviors or tendencies amongst shoppers,L4,,,,
,,,2.1.1.12 Analyze Market Lifecycle  ,,,,Gathering and analyzing of market lifecycle data (identifying a market's cyclical behaviors and the reasons behind the duration of the relationship).,L4,,,,
,,2.1.2 Size Market,,,,,,L3,,,,
,,2.1.3 Model Customer Value,,,,,,L3,,,,
,,2.1.4 Analyze In-Market Campaigns ,,,,,"After a campaign has been executed, these are the capabilities that allow for monitoring the efficacy and response of a given campaign. Includes post-campaign analysis and is an input into future campaigns. ",L3,,,,
,,2.1.5 Manage Market Targeting,,,,,,L3,,,,
,,,2.1.5.1 Mass Marketing,,,,,L4,,,,
,,,2.1.5.2 Behavioral Targeting,,,,,L4,,,,
,,,2.1.5.3 Re-Targeting,,,,,L4,,,,
,2.2 Plan Got to Market Strategy,,,,,,Defining the specific target market as the focus for the marketing effort and specifying a marketing mix to satisfy that market are imperative in developing a marketing strategy.,L2,,,,
,,2.2.1 Create Marketing Strategic Plan,,,,,"Planning capabilities for mid to long-term marketing activities. Strategic planning capabilities require more than typical current state inputs, but also analytical, ""what-if"" modeling capabilities with industry trends as inputs.",L3,,,,
,,2.2.2 Manage Marketing Resources,,,,,"Determine the appropriate use of resources allocated to advertising.  Involves selecting the proper medium (TV, radio, etc…) to market the product or service.",L3,,,,
,,2.2.3 Develop Marketing Plan ,,,,,"Ability to define and develop a marketing plan both directly to a specific customer or in collaboration with a partner. This typically requires involvement with those in a Sales capability, as target is toward a specific customer or customer segment, with plans beyond the ""End Action"" stage of marketing. Partners and Sales personnel are key stakeholders regarding this capability.",L3,,,,
,,2.2.4 Create Market Forecast,,,,,"Estimate the number of units or the dollar sales volume the enterprise expects to reach for a specific product in a specific market over a specific time period, given an intended level and type of marketing effort by the firm and an expected set of environmental conditions. Differs from Sales Forecasting it that it is based upon macro-level analysis, not individual customers.",L3,,,,
,2.3 Manage Marketing Portfolio,,,,,,,L2,,,,
,2.4 Manage Marketing Campaigns,,,,,,"After a campaign has been planned and developed, execution and management of the campaign lifecycle.",L2,,,,
,,2.4.1 Plan Campaigns,,,,,,L3,,,,
,,2.4.2 Create Campaigns,,,,,"Capability of developing the marketing campaign, including ensuring that marketing objectives are met and the associated collateral development. Includes segmentation and customer profile analysis as supporting capabilities, along with a response management plan.",L3,,,,
,,,2.4.2.1 Manage Campaign Team ,,,,"Ability to, once the campaign has been executed, of managing the activities of the campaign team, including 3rd party resources. Statusing, resource management, and reporting are all supporting capabilities.",L4,,,,
,,,2.4.2.2 Develop Campaign Plan ,,,,"Beyond just the campaign team activities, capabilities that support planning at the entire campaign level. ",L4,,,,
,,,2.4.2.3 Manage Campaign Budget ,,,,"Determining at which level campaign budgeting is to take place (e.g., cell versus activity level,) allocation at campaign phases, ROI.",L4,,,,
,,,2.4.2.4 Develop Campaign Response Management Plan,,,,Development of the plan for when a targeted customer responds with an end action.,L4,,,,
,,,2.4.2.5 Develop Campaign Creative Component,,,,"Capabilities limited to the creation of creative marketing collateral execution. Response management planning is still required, but the focus is on increasing the number of impressions to the target segment.",L4,,,,
,2.5 Execute Marketing Campaigns,,,,,,Marketing communications capabilities are those related to both broadcast and targeted communication toward a targeted segment in order to establish initial impressions. ,L2,,,,
,,2.5.1 Develop Creative Collateral ,,,,,"Capabilities related to creation, tracking, versioning of marketing brochures, whitepapers, commercials, and advertising for a given marketing campaign.",L3,,,,
,,,2.5.1.1 Generate Email Communications,,,,"Ability to generate emails en mass, as well as more targeted emails, for a given marketing campaign.",L4,,,,
,,,2.5.1.2 Perform Virtual Conferencing,,,,"Ability to hold virtual conferences via the Internet, including the creation and management of the content to be presented.",L4,,,,
,,,2.5.1.3 Execute Direct Mailings,,,,"Creation of direct-mail brochures, pamphlets.",L4,,,,
,,,2.5.1.4 Execute Online Advertisements,,,,"Development of online ads, banner ads for a given marketing campaign.",L4,,,,
,,,2.5.1.5 Create and Publish eNewsletters ,,,,"Ability to create electronic newsletters, which can also include the ability to subscribe and unsubscribe to specific topics of interests to a prospect.",L4,,,,
,,2.5.2 Fulfill Collateral Needs,,,,,"Ability to fulfill, electronically or physical, collateral and or obligations to a prospect for providing initial PII.",L3,,,,
,,2.5.3 Manage Sales/Marketing Materials ,,,,,,L3,,,,
,,2.5.4 Generate and Manage Lists,,,,,Management of third-party and in-house list of target customers for a given ad campaign. Can include existing customer lists.,L3,,,,
,,2.5.5 Manage Lead Responses,,,,,"Ability for collection and proper routing of all customer data. Key capabilities include monitoring Campaign performance to determine whether to run program as planned, make adjustments, or end early as well as ensuring that customer data is validated and qualified, and routed to appropriate parties based upon response attributes.",L3,,,,
,,,2.5.5.1 Plan Campaign Response Management,,,,"Based upon end-user actions of a campaign, the ability to respond to them and take appropriate action, including further qualification and PII retrieval with consent.",L4,,,,
,,,2.5.5.2 Manage Response Data ,,,,Capabilities for capture and management of customer profile information from Campaign respondents. Typically an outcome of an End Action from a prospect.,L4,,,,
,,,2.5.5.3 Route Responses,,,,"Ability to, based upon respondent actions, as well as profile data, route the response to the appropriate next step and role.",L4,,,,
,,,2.5.5.4 Monitor Responses,,,,Monitoring and metrics around the response for a given campaign.,L4,,,,
,2.6 Manage Promotions,,,,,,,L2,,,,
,,2.6.1 Personal Selling,,,,,,L3,,,,
,,2.6.2 Sales Promotion,,,,,,L3,,,,
,,2.6.3 Public Relations,,,,,,L3,,,,
,,2.6.4 Advertising,,,,,,L3,,,,
,,2.6.5 Direct Mail,,,,,,L3,,,,
,,2.6.6 Online Promotion,,,,,,L3,,,,
,,2.6.7 Sponsorship,,,,,,L3,,,,
,,2.6.8 Trade Fairs,,,,,,L3,,,,
,2.7 Manage Marketing Communications,,,,,,,L2,,,,
,,2.7.1 Manage Promotions,,,,,,L3,,,,
,,2.7.2 Manage Advertising,,,,,,L3,,,,
,2.8 Manage Marketing Events,,,,,,"The ability to create, schedule, and execute marketing events for increased awareness, as well as sales lead generation. Includes the ability to schedule events for a target audience, as well as tracking registrations and cancellations.",L2,,,,
,,2.8.1 Manage Event Registration & Logistics,,,,,,L3,,,,
,,2.8.2 Manage Events Delivery & Feedback,,,,,,L3,,,,
,,"2.8.3 Events contribution (collateral, slides, speakers)",,,,,,L3,,,,
,2.9 Manage Marketing Investment Funds,,,,,,"Capabilities in support of managing a given channel, such as direct, online, or partner.",L2,,,,
,2.10 Manage Territories,,,,,,"Process of grouping Partner\Customers, assigning those groups to one or multiple sales representatives channel partners, defining sales goals, and analyzing territory performance.  Territories are usually defined by geography, industry, product line, volume of sales",L2,,,,
,,2.10.1 Plan Territory,,,,,"Process of grouping Partner\Customers and assigning those groups to one or multiple sales representatives.  Territories are usually defined by geography, industry focus, demographics, product line, volume of sales,  named account, etc.",L3,,,,
,,2.10.2 Evaluate Territory Sales Goals,,,,,Ability to plan and forecast sales volume expectations set with various territories.  The enterprise communicates sales goals to potential partner and filed sales by territory.,L3,,,,
,,2.10.3 Assign Territory,,,,,"As territories are identified, certified partners who will be responsible for meeting determined negotiated goals are aligned to those territories .",L3,,,,
,,2.10.4 Monitor Territory Performance ,,,,,"Territory performance is examined to identify major successes, issues, and room for improvement.  This analysis will determine recommended changes to the territory plan moving forward.",L3,,,,
,2.11 Manage Telemarketing,,,,,,"Capabilities around managing a telemarketing call center and team, including response routing, representative schedule, effectiveness analysis. Includes preparation and planning, scripting for an outbound Telemarketing Campaign. Covers ""cold calling"" from lists or callbacks from an End Action.",L2,,,,
,2.12 Manage Partner Channel,,,,,,"Capabilities related to alliance and relationship management for channel partners, including OEM, ISV, System Integrators, and Resellers. The capabilities are more unique to partner channels than other channels (direct, retail, online.) ",L2,,,,
,,2.12.1 Manage Partner Recruitment ,,,,,"The enterprise creates a profile that represents the ideal partner.    The profile created would include information such as revenue, sales growth rate, expertise, Agreements, location, etc?.",L3,,,,
,,2.12.2 Register Partner,,,,,,L3,,,,
,,2.12.3 Recruit Partners,,,,,,L3,,,,
,,2.12.4 Enroll Partners,,,,,,L3,,,,
,,2.12.5 Assess Partners,,,,,,L3,,,,
,,,2.12.5.1 Manage Partner Profiles,,,,"The process of managing public, Partner\Customer facing partner relationships (identifying the desired characteristics of a potential partner, recruiting partners who fit the criteria, certifying and registering those partners, maintaining partner Agreements, and",L4,,,,
,,,2.12.5.2 Manage Partner Competency,,,,,L4,,,,
,,,2.12.5.3 Manage Partner Requirements Compliance,,,,,L4,,,,
,,2.12.6 Manage Partner Certifications/Assessments,,,,,,L3,,,,
,,2.12.7 Partner Qualification,,,,,"Through extensive research and interviewing, partners who fit the profile are identified.  Once they are identified, the enterprise conducts a recruiting effort to establish relations.",L3,,,,
,,2.12.8 Royalties Management,,,,,"The ability to establish and track specific royalty agreements based upon specific products and services used within each others' products. Includes the ability to calculate royalties, tracking.",L3,,,,
,,2.12.9 Partner Enablement,,,,,,L3,,,,
,,,2.12.9.1 Create Partner Solution Plan (PSP),,,,Ability to collaboratively define a plan with channel partners in selling and deploying their solutions involving company products.,L4,,,,
,,,2.12.9.2 Manage Partner Program Benefits ,,,,,L4,,,,
,,,2.12.9.3 Manage Partner Resources,,,,,L4,,,,
,,,2.12.9.4 Create Partner Business Plan (PBP),,,,"Detailed  partnership plans are drafted, communicated, combined, and shared between the partner and the enterprise to facilitate joint selling. Defining shared business plans, common objectives, strategies, and targets a part of this capability.",L4,,,,
,,,2.12.9.5 Conduct Partner Campaign Planning,,,,Joint Microsoft-Partner effort to define and develop Through-Partner and With-Partner marketing campaigns.,L4,,,,
,,,2.12.9.6 Map Software Partner Technology to Offerings,,,,,L4,,,,
,,,,2.12.9.6.1 Evaluate Partner Solutions,,,,L5,,,,
,,,,2.12.9.6.2 Map Partner Solutions to Offering White Space,,,,L5,,,,
,,,,2.12.9.6.3 Connect Partner with R&D,,,,L5,,,,
,,,2.12.9.7 Map Integration Partner Services to Offerings,,,,,L4,,,,
,,,,2.12.9.7.1 Evaluate Partner Services,,,,L5,,,,
,,,,2.12.9.7.2 Map Partner Services to Offering White Space,,,,L5,,,,
,,,2.12.9.8 Manage Partner Product Certifications ,,,,,L4,,,,
,,2.12.10 Manage Partner Retention,,,,,,L3,,,,
,,,2.12.10.1 Manage Partner Authorization & Renewals,,,,,L4,,,,
,,,2.12.10.2 Maintain Partner Program,,,,,L4,,,,
,,,2.12.10.3 Manage Partner Rewards & Recognitions,,,,,L4,,,,
,,,2.12.10.4 Conduct Partner Post Sales Reviews,,,,,L4,,,,
,,,2.12.10.5 Manage Partner Influencer Revenue Tracking ,,,,,L4,,,,
,,,2.12.10.6 Enable Partner Capabilities,,,,,L4,,,,
,,,2.12.10.7 Mentor Partner Performance,,,,,L4,,,,
